rank,country_full,country_abrv,total_points,previous_points,rank_change,cur_year_avg,cur_year_avg_weighted,last_year_avg,last_year_avg_weighted,two_year_ago_avg,two_year_ago_weighted,three_year_ago_avg,three_year_ago_weighted,confederation,rank_date
136,Rwanda,RWA,216.13,252,-13,89.97,89.97,70.13,35.06,161.79,48.54,212.78,42.56,CAF,2018-06-07
137,Angola,ANG,209.08,221,1,114.9,114.9,50.82,25.41,107.4,32.22,182.75,36.55,CAF,2018-06-07
138,Myanmar,MYA,205.52,227,-3,140.01,140.01,47.22,23.61,82.88,24.86,85.14,17.03,AFC,2018-06-07
139,Botswana,BOT,204.52,195,3,79.64,79.64,67.76,33.88,223.42,67.03,119.88,23.98,CAF,2018-06-07
140,Tanzania,TAN,200.32,223,-3,105.93,105.93,73.95,36.98,149.43,44.83,62.9,12.58,CAF,2018-06-07
141,Kosovo,KVX,197.2,164,11,143.02,143.02,68.81,34.4,65.93,19.78,0,0,UEFA,2018-06-07
142,Hong Kong,HKG,195.06,194,2,95.01,95.01,79.69,39.84,162.7,48.81,56.95,11.39,AFC,2018-06-07
143,Equatorial Guinea,EQG,189.97,190,2,21.25,21.25,73.44,36.72,160.44,48.13,419.37,83.87,CAF,2018-06-07
143,Solomon Islands,SOL,189.91,162,10,137.33,137.33,51.61,25.8,89.25,26.78,0,0,OFC,2018-06-07
145,Afghanistan,AFG,187.6,199,-5,112.98,112.98,72.25,36.13,105.64,31.69,34,6.8,AFC,2018-06-07
146,Guatemala,GUA,179.79,198,-5,0,0,142.12,71.06,229.07,68.72,200.06,40.01,CONCACAF,2018-06-07
147,Lesotho,LES,175.48,172,3,78.24,78.24,108.8,54.4,63.33,19,119.2,23.84,CAF,2018-06-07
148,Burundi,BDI,174.16,188,-2,83.78,83.78,51,25.5,168.1,50.43,72.25,14.45,CAF,2018-06-07
149,Comoros,COM,171.66,195,-7,71.55,71.55,125.29,62.65,124.87,37.46,0,0,CAF,2018-06-07
150,Maldives,MDV,171.42,183,-2,106.25,106.25,92.08,46.04,63.75,19.13,0,0,AFC,2018-06-07
151,Ethiopia,ETH,165.84,188,-5,51.46,51.46,85.68,42.84,134.42,40.33,156.04,31.21,CAF,2018-06-07
152,Dominican Republic,DOM,162.4,175,-3,72.93,72.93,43.86,21.93,136.43,40.93,133.08,26.62,CONCACAF,2018-06-07
153,Suriname,SUR,154.19,140,1,0,0,260.1,130.05,66.3,19.89,21.25,4.25,CONCACAF,2018-06-07
154,New Caledonia,NCL,149.6,135,2,74.38,74.38,86.7,43.35,106.25,31.88,0,0,OFC,2018-06-07
155,Mauritius,MRI,140.37,124,6,46.26,46.26,61.2,30.6,172.13,51.64,59.33,11.87,CAF,2018-06-07
156,South Sudan,SSD,131.82,130,1,26.63,26.63,114.75,57.38,159.38,47.81,0,0,CAF,2018-06-07
157,Tahiti,TAH,129.62,117,5,34,34,127.5,63.75,106.25,31.87,0,0,OFC,2018-06-07
158,Liberia,LBR,129.08,167,-7,60.69,60.69,0,0,227.95,68.39,0,0,CAF,2018-06-07
159,Kuwait,KUW,128.48,126,1,68.36,68.36,0,0,147.42,44.23,79.45,15.89,AFC,2018-06-07
160,Barbados,BRB,127.07,129,-2,54.64,54.64,0,0,141.95,42.59,149.22,29.84,CONCACAF,2018-06-07
161,Nepal,NEP,118.47,111,3,68,68,63.75,31.88,47.81,14.34,21.25,4.25,AFC,2018-06-07
162,Vanuatu,VAN,116.83,136,-7,86.02,86.02,0,0,102.71,30.81,0,0,OFC,2018-06-07
163,Belize,BLZ,115.31,107,6,8.5,8.5,43.11,21.55,255.85,76.76,42.5,8.5,CONCACAF,2018-06-07
164,Indonesia,IDN,111.49,111,0,62.39,62.39,70.05,35.03,0,0,70.38,14.08,AFC,2018-06-07
165,Fiji,FIJ,103.65,110,2,55.99,55.99,42.5,21.25,88.04,26.41,0,0,OFC,2018-06-07
166,Cambodia,CAM,103.2,105,4,45.54,45.54,63.75,31.88,34.91,10.47,76.57,15.31,AFC,2018-06-07
166,Papua New Guinea,PNG,102.67,78,14,0,0,126.29,63.14,131.75,39.53,0,0,OFC,2018-06-07
168,Grenada,GRN,101.53,113,-5,42.5,42.5,21.08,10.54,123.96,37.19,56.53,11.31,CONCACAF,2018-06-07
169,Singapore,SIN,98.85,102,3,29.88,29.88,35.43,17.71,127.15,38.14,65.57,13.11,AFC,2018-06-07
170,St Lucia,LCA,94.94,95,4,42.5,42.5,0,0,122.4,36.72,78.63,15.73,CONCACAF,2018-06-07
171,Malaysia,MAS,93.04,104,0,28.48,28.48,44.8,22.4,109.29,32.79,46.93,9.39,AFC,2018-06-07
172,Gambia,GAM,91.94,94,3,37.4,37.4,46.92,23.46,74.72,22.41,43.35,8.67,CAF,2018-06-07
