Marca,Submarca,Version,Modelo,Transmision,Combustible,Cilindros,Potencia,Tamaño,Categoria,Rend_Ciudad,Ren_Carretera,Rend_Comb,Rend_Ajustado,CO2,Nox,Calificacion_Gas,Calificacion_ContamAire
FIAT,DOBLO,6PTS 1.6L 4CIL 105HP MAN TURBO DIESEL,2013,MAN,Diesel,4,105,1.6,AUTOS COMPACTOS,14.9,21.3,18.6,13.95,192,248,7,?
NISSAN,TIIDA,SEDAN 4PTS 1.6L 4CIL 106HP MAN,2015,MAN,Gasolina,4,106,1.6,AUTOS COMPACTOS,14.9,20.66,18.41,13.81,169,20,8,?
KIA,SOUL,5PTAS 1.6L 4CIL 122HP MAN,2017,MAN,Gasolina,4,122,1.6,AUTOS COMPACTOS,14.85,18.59,17.71,13.28,176,30,8,?
KIA,SOUL,5PTAS 1.6L 4CIL 201HP TURBO AUT DCT,2017,AUT,Gasolina,4,201,1.6,AUTOS COMPACTOS,14.85,19.13,17.89,13.42,174,80,8,?
KIA,SOUL,5PTAS 1.6L 4CIL 122HP MAN,2018,MAN,Gasolina,4,122,1.6,AUTOS COMPACTOS,14.85,18.59,17.71,13.28,176,30,8,?
KIA,SOUL,5PTAS 1.6L 4CIL 201HP TURBO AUT DCT,2018,AUT,Gasolina,4,201,1.6,AUTOS COMPACTOS,14.85,19.13,17.89,13.42,174,80,8,?
NISSAN,JUKE,5PTS 1.6L 4CIL 188HP CVT TURBO,2014,CVT,Gasolina,4,188,1.6,AUTOS COMPACTOS,14.8,19.3,16.53,12.4,188,13,7,8
NISSAN,JUKE,5PTS 1.6L 4CIL 188HP CVT TURBO,2015,CVT,Gasolina,4,188,1.6,AUTOS COMPACTOS,14.8,19.3,16.53,12.4,188,13,7,8
MAZDA,MAZDA2,HATCHBACK 5PTS 1.5L 4CIL 102HP MAN,2015,MAN,Gasolina,4,102,1.5,AUTOS COMPACTOS,14.8,19.9,18.11,13.58,172,8,8,9
SEAT,TOLEDO,SEDAN 4PUERTAS 1.6L 4CIL 105HP TIP,2015,TIPTRONIC,Gasolina,4,105,1.6,AUTOS COMPACTOS,14.8,25.2,18.18,13.63,171,41,8,6
NISSAN,JUKE,5PTS 1.6L 4CIL 188HP AUT (CVT) TURBO,2016,CVT,Gasolina,4,188,1.6,AUTOS COMPACTOS,14.8,19.3,16.53,12.4,188,13,7,8
CHEVROLET,MALIBU,4PTS 1.5L 4CIL 160HP AUT TURBO,2016,AUT,Gasolina,4,160,1.5,AUTOS COMPACTOS,14.8,22.5,17.49,13.12,178,4,8,9
CHEVROLET,MALIBU,LS 4PTAS 1.5L 4CIL 160HP AUT TURBO,2017,AUT,Gasolina,4,160,1.5,AUTOS COMPACTOS,14.79,22.49,17.49,13.11,178,4,8,9
CHEVROLET,MALIBU,LT 4PTAS 1.5L 4CIL 16HP AUT TURBO,2017,AUT,Gasolina,4,160,1.5,AUTOS COMPACTOS,14.79,22.49,17.49,13.11,178,4,8,9
VW,GOLF,5PTS 1.4L 4CIL 160HP DSG FSI TURBO,2013,DSG,Gasolina,4,160,1.4,AUTOS COMPACTOS,14.7,23.63,17.71,13.28,176,25,8,6
VW,JETTA,MKVI 4PTS 2.0L 4CIL 140HP DSG TDI,2011,DSG,Diesel,4,140,2,AUTOS COMPACTOS,14.7,21.73,18.57,13.93,192,178,7,?
VW,JETTA,MKVI 4PTS 2.0L 4CIL 140HP MAN TDI,2011,M6,Diesel,4,140,2,AUTOS COMPACTOS,14.7,21.73,18.57,13.93,192,178,7,?
VW,GOLF,SPORTWAGEN 4PTS 2.0L 4CIL 140HP DSG TDI,2011,DSG,Diesel,4,140,2,AUTOS COMPACTOS,14.7,21.73,18.57,13.93,192,176,7,?
VW,GOLF,SPORTWAGEN 4PTS 2.0L 4CIL 140HP MAN TDI,2011,M6,Diesel,4,140,2,AUTOS COMPACTOS,14.7,21.73,18.57,13.93,192,176,7,?
FORD,FOCUS,HATBACHBACK 5PTAS 2.0L 4CIL 160HP AUT,2017,AUT,Gasolina,4,160,2,AUTOS COMPACTOS,14.7,24.34,17.89,13.41,174,18,8,8
FORD,FOCUS,SEDAN 4PTAS 2.0L 4CIL 160HP AUT,2017,AUT,Gasolina,4,160,2,AUTOS COMPACTOS,14.7,24.34,17.89,13.41,174,18,8,8
FORD,FOCUS,4/5PTAS 2.0L 4CIL 160HP AUT,2018,AUT,Gasolina,4,160,2,AUTOS COMPACTOS,14.7,24.34,17.89,13.41,174,18,8,8
FORD,FOCUS,HATCHBACK 5PTS 2.0L 4CIL 160HP AUT,2014,AUT,Gasolina,4,160,2,AUTOS COMPACTOS,14.66,22.56,17.4,13.05,179,19,8,8
FORD,FOCUS,SEDAN 4PTS 2.0L 4CIL 160HP AUT,2014,AUT,Gasolina,4,160,2,AUTOS COMPACTOS,14.66,22.56,17.4,13.05,179,19,8,8
FORD,FOCUS,ST 5PTS 2.0L 4CIL 250HP MAN TURBO,2014,MAN,Gasolina,4,250,2,AUTOS COMPACTOS,14.66,22.56,18.77,14.08,166,10,8,9
FORD,FOCUS,4/5PTS 2.0L 4CIL 160HP AUT,2015,AUT,Gasolina,4,160,2,AUTOS COMPACTOS,14.66,22.56,17.4,13.05,179,19,8,8
NISSAN,VERSA,SEDAN 4PTS 1.6L 4CIL 106HP AUT,2012,AUT,Gasolina,4,106,1.6,AUTOS COMPACTOS,14.6,20.9,18.27,13.7,170,24,8,?
NISSAN,VERSA,SEDAN 4PTS 1.6L 4CIL 106HP AUT,2013,AUT,Gasolina,4,106,1.6,AUTOS COMPACTOS,14.6,20.9,18.27,13.7,170,24,8,?
NISSAN,VERSA,SEDAN 4PTS 1.6L 4CIL 106HP AUT,2015,AUT,Gasolina,4,106,1.6,AUTOS COMPACTOS,14.6,20.9,18.27,13.7,170,24,8,?
MAZDA,CX-3,WAGON 4X4 5PTS 2.0L 4CIL 146HP AUT,2016,AUT,Gasolina,4,146,2,AUTOS COMPACTOS,14.6,19.4,17.81,13.36,175,6,8,9
NISSAN,VERSA,SEDAN 4PTS 1.6L 4CIL 106HP AUT,2016,AUT,Gasolina,4,106,1.6,AUTOS COMPACTOS,14.6,20.9,18.27,13.7,170,24,8,?
SUZUKI,S-CROSS,2WD 5PTAS 1.6L 4CIL118HP MAN,2016,MAN,Gasolina,4,118,1.6,AUTOS COMPACTOS,14.5,20.3,16.64,12.48,187,14,7,8
SUZUKI,S-CROSS,2WD 5PTAS 1.6L 4CIL118HP MAN,2015,MAN,Gasolina,4,118,1.6,AUTOS COMPACTOS,14.5,20.3,16.64,12.48,187,14,7,8
SUZUKI,S-CROSS,2WD 5PTAS 1.6L 4CIL118HP MAN,2017,MAN,Gasolina,4,118,1.6,AUTOS COMPACTOS,14.5,20.3,16.64,12.48,187,14,7,8
MERCEDES,A 200,CGI 5PTAS 1.6L 4CIL 156HP TURBO AUT,2018,AUT,Gasolina,4,156,1.595,AUTOS COMPACTOS,14.49,21.28,18.29,13.72,170,12,8,9
MERCEDES,A 200,CGI 5PTAS 1.6L 4CIL 156HP AUT TURBO,2016,AUT,Gasolina,4,156,1.595,AUTOS COMPACTOS,14.49,21.28,18.29,13.72,170,12,8,9
MERCEDES,A 200,CGI 5PTAS 1.6L 4CIL 156HP MAN TURBO,2016,MAN,Gasolina,4,156,1.595,AUTOS COMPACTOS,14.49,21.28,18.29,13.72,170,12,8,9
MITSUBISHI,LANCER,4PTAS 2.0L 4CIL 152HP CVT,2016,CVT,Gasolina,4,152,2,AUTOS COMPACTOS,14.42,22.32,17.15,12.86,181,15,8,8
HONDA,CITY,LX 4PTS 1.5L 4CIL 118HP MAN,2011,MAN,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.4,18.6,16.03,12.02,194,11,7,9
HONDA,CITY,EX 4PTS 1.5L 4CIL 118HP MAN,2011,MAN,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.4,18.6,16.03,12.02,194,11,7,9
HONDA,CITY,LX 4PTS 1.5L 4CIL 118HP MAN,2012,MAN,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.4,18.6,16.03,12.02,194,11,7,9
HONDA,CITY,EX 4PTS 1.5L 4CIL 118HP MAN,2012,MAN,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.4,18.6,16.03,12.02,194,11,7,9
HONDA,CITY,LX 4PTS 1.5L 4CIL 118HP MAN,2013,MAN,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.4,18.6,16.03,12.02,194,11,7,9
HONDA,CITY,EX 4PTS 1.5L 4CIL 118HP MAN,2013,MAN,Gasolina,4,118,1.5,AUTOS COMPACTOS,14.4,18.6,16.03,12.02,194,11,7,9
MAZDA,MAZDA2,HATCHBACK 5PTS 1.5L 4CIL 102HP AUT,2015,AUT,Gasolina,4,102,1.5,AUTOS COMPACTOS,14.4,18.8,17.48,13.11,178,14,8,?
DODGE,VISION,4PTAS 1.6L 4CIL 113HP MT,2016,MAN,Gasolina,4,113,1.6,AUTOS COMPACTOS,14.31,18.78,16.03,12.02,194,28,7,6
MAZDA,MAZDA3,SEDAN 4PTS 2.5L 4CIL 185HP AUT,2014,AUT,Gasolina,4,185,2.5,AUTOS COMPACTOS,14.3,21.5,16.84,12.63,185,9,7,9
NISSAN,SENTRA,4PTS 1.8L 4CIL 129HP MAN,2015,MAN,Gasolina,4,129,1.8,AUTOS COMPACTOS,14.3,22.4,17.08,12.81,182,17,8,8
MAZDA,MAZDA3,SEDAN 4PTS 2.5L 4CIL 188HP AUT,2015,AUT,Gasolina,4,188,2.5,AUTOS COMPACTOS,14.3,21.7,18.27,13.7,170,9,8,9
